agenda_item_id,agenda_item_title,matched_address_keys,confidence,subject_matter_number,subject_matter_particulars,registrant_type,registrant_name,beneficiary_names,beneficiary_types
2023.CC1.5,"415 Broadview Avenue - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",415 broadview,street_type_matched,SM32447,Proposal for mixed-use development at 415 Broadview Avenue.,In-house,Lukasz Wywrot,,
2023.TE1.6,415 Broadview Avenue - Official Plan and Zoning By-law Amendment - Request for Direction Report,415 broadview,street_type_matched,SM32447,Proposal for mixed-use development at 415 Broadview Avenue.,In-house,Lukasz Wywrot,,
2023.PB1.4,"51 Panorama Court - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act and Authority to Enter into a Heritage Easement Agreement",51 panorama,street_type_matched,SM26098,51 Panorama Court site development,In-house,Kathryn Borgatti,,
2023.SC2.1,"1625, 1633 and 1641 Kingston Road and 52 Birchcliff Avenue - Rental Housing Demolition Application - Final Report",1641 kingston; 52 birchcliff,street_type_matched,SM29850,Development of a residential condominium at 1615-1641 Kingston Road and 50-52 Birchcliff Avenue,In-house,Zev Mandelbaum,,
2023.PB4.3,"153 and 185 Eastern Avenue - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",185 eastern,street_type_matched,SM34318,"RE: the development of 153-185 Eastern Ave., Toronto",In-house,Darius Rybak,,
2023.PB4.10,"5, 7, 9, 11, 13 Charles Street West; 11, 13 Irwin Avenue; 10 Isabella Street, 145 St. Luke Lane and 750 and 756 Yonge Street - Inclusion of 11 Properties on the Heritage Register",11 irwin,street_type_mismatch_or_missing,SM14604,11 Irwin Road,Consultant,Barry Morrison,Royal Canadian Legion,Client
2023.PB4.10,"5, 7, 9, 11, 13 Charles Street West; 11, 13 Irwin Avenue; 10 Isabella Street, 145 St. Luke Lane and 750 and 756 Yonge Street - Inclusion of 11 Properties on the Heritage Register",11 irwin,street_type_matched,SM14605,"a determination is sought with respect to the current zoning on 11 Irwin Ave, Etobicoke. Clarification is requested with respect to bylaw standards and applicability.",Consultant,Wolfgang Pazulla,Royal Canadian Legion Branch 238,Client
2023.CC5.24,1-3 Concorde Gate and 10-12 Concorde Place - Zoning By-law Amendment - Ontario Land Tribunal Appeal - Request for Directions,12 concorde; 3 concorde,street_type_matched,SM37772,1-3 Concorde Gate and 10-12 Concorde Place: mixed-use redevelopment of the Concorde Corporate Centre lands.,Consultant,Ryan Doherty,Fengate Asset Management,Client
2023.CC5.24,1-3 Concorde Gate and 10-12 Concorde Place - Zoning By-law Amendment - Ontario Land Tribunal Appeal - Request for Directions,12 concorde,street_type_matched,SM28445,Application in support of redevelopment of 10 and 12 Concorde Place,Consultant,Kate Cooper,Artis Concorde Limited,Client
2023.CC5.24,1-3 Concorde Gate and 10-12 Concorde Place - Zoning By-law Amendment - Ontario Land Tribunal Appeal - Request for Directions,12 concorde,street_type_mismatch_or_missing,SM31135,Potential redevelopment of property at 10-12 Concorde Gate,Consultant,Andrew Jeanrie,Fengate CCC Holdings LP; Fengate Asset Management,Client; Parent company
2023.CC5.24,1-3 Concorde Gate and 10-12 Concorde Place - Zoning By-law Amendment - Ontario Land Tribunal Appeal - Request for Directions,12 concorde,street_type_mismatch_or_missing,SM32939,Potential redevelopment of property at 10-12 Concorde Gate,Consultant,Andrew Jeanrie,Fengate CCC Holdings LP; Fengate Asset Management,Client; Parent company
2023.TE4.13,"25 St. Mary Street - Official Plan Amendment,  Zoning Amendment, and Rental Housing Demolition Applications - Decision Report - Approval",25 stmary,street_type_matched,SM31718,25 St. Mary Street,In-house,Claude Cormier,,
2023.TE4.13,"25 St. Mary Street - Official Plan Amendment,  Zoning Amendment, and Rental Housing Demolition Applications - Decision Report - Approval",25 stmary,street_type_matched,SM31706,25 St. Mary Street redevelopment,Consultant,Peter Pantalone,25 St. Mary Developments Inc.; Tenblock,Client; Other
2023.TE4.13,"25 St. Mary Street - Official Plan Amendment,  Zoning Amendment, and Rental Housing Demolition Applications - Decision Report - Approval",25 stmary,street_type_matched,SM31719,25 St. Mary Street,Consultant,Pat Hanson,25 St. Mary Developments Inc.; Tenblock,Client; Other
2023.TE4.13,"25 St. Mary Street - Official Plan Amendment,  Zoning Amendment, and Rental Housing Demolition Applications - Decision Report - Approval",25 stmary,street_type_matched,SM31651,25 St. Mary Street,Consultant,Antonio De Franco,25 St. Mary Developments Inc.; Tenblock,Client; Other
2023.TE4.13,"25 St. Mary Street - Official Plan Amendment,  Zoning Amendment, and Rental Housing Demolition Applications - Decision Report - Approval",25 stmary,street_type_matched,SM31586,"Re-development of 25 St. Mary Street property, inclusive of full rental replacement.",Consultant,Tristan Downe-Dewdney,25 St. Mary Developments Inc.; Tenblock,Client; Other
2023.TE4.13,"25 St. Mary Street - Official Plan Amendment,  Zoning Amendment, and Rental Housing Demolition Applications - Decision Report - Approval",25 stmary,street_type_matched,SM34322,"Re-development of 25 St. Mary Street property, inclusive of full rental replacement",Consultant,Tristan Downe-Dewdney,25 St. Mary Developments Inc.; Tenblock Developments,Client; Parent company
2023.TE4.13,"25 St. Mary Street - Official Plan Amendment,  Zoning Amendment, and Rental Housing Demolition Applications - Decision Report - Approval",25 stmary,street_type_matched,SM35508,Approval conditions for 25 St. Mary Street,Consultant,Tristan Downe-Dewdney,25 St. Mary Developments Inc.; Tenblock Developments,Client; Parent company
2023.TE4.13,"25 St. Mary Street - Official Plan Amendment,  Zoning Amendment, and Rental Housing Demolition Applications - Decision Report - Approval",25 stmary,street_type_matched,SM35533,"Development of policy/permission framework to allow for deep-ground geothermal assets to be located under parks. Applicable to 25 St Mary St, 48 Grenoble Dr, 1875 Steeles Ave W, 5 Capri Dr, and 145 St George St",Consultant,Tristan Downe-Dewdney,Tenblock Developments; 145 St. George Company Partnership; 155 Antibes Developments Inc.; Capri Holdings Limited Co-Tenancy; Microbjo Properties Inc.; 25 St. Mary Developments Inc.,Client; Other; Other; Other; Other; Other
2023.TE4.13,"25 St. Mary Street - Official Plan Amendment,  Zoning Amendment, and Rental Housing Demolition Applications - Decision Report - Approval",25 stmary,street_type_matched,SM30765,25 St. Mary Street,In-house,Stephen Job,,
2023.TE4.13,"25 St. Mary Street - Official Plan Amendment,  Zoning Amendment, and Rental Housing Demolition Applications - Decision Report - Approval",25 stmary,street_type_matched,SM36415,25 St. Mary Street,In-house,Stephen Job,,
2023.CC6.13,"15, 19, 21 and 23 Toryork Drive - Ontario Land Tribunal Hearing - Request for Directions",23 toryork,street_type_matched,SM12992,15-23 Toryork Drive,Consultant,Adam Brown,Centrillium Inc.,Client
2023.CC6.13,"15, 19, 21 and 23 Toryork Drive - Ontario Land Tribunal Hearing - Request for Directions",23 toryork,street_type_mismatch_or_missing,SM34293,Zoning By-law and Official Plan amendment for site located at 15-23 Toryork Road.,Consultant,Lindsay Dale-Harris,Berkshire Axis Group,Client
2023.CC6.13,"15, 19, 21 and 23 Toryork Drive - Ontario Land Tribunal Hearing - Request for Directions",23 toryork,street_type_mismatch_or_missing,SM34307,Zoning By-law and Official Plan amendment for site located at 15-23 Toryork Road.,Consultant,Lisa Ward Mather,Berkshire Axis Group,Client
2023.PB7.1,"38 Walmer Road - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",38 walmer,street_type_matched,SM36347,"38 Walmer Road, Toronto, ON 

Our housing projects and light industrial/community hub projects are located in the City of Toronto.  There are ongoing matters that come up during the year.",In-house,Mazyar Mortazavi,,
2023.PB7.1,"38 Walmer Road - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",38 walmer,street_type_matched,SM33196,ZBA and SPA applications for the redevelopment of 38 Walmer Rd & 188 Lowther Ave for a residential building which includes the retention of the Walmer Road Baptist Church Sanctuary and partial demolition of the existing heritage building.,In-house,Mazyar Mortazavi,,
2023.PB7.1,"38 Walmer Road - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",38 walmer,street_type_matched,SM35826,38 Walmer Road,In-house,Mazyar Mortazavi,,
2023.EY5.1,4500 Jane Street - Zoning By-law Amendment Application - Decision Report - Approval,4500 jane,street_type_matched,SM33164,Zoning By-law Amendment Application at 4500 Jane Street,In-house,David Chalmers,,
2023.CC7.11,1-3 Concorde Gate and 10-12 Concorde Place - Zoning By-law Amendment - Ontario Land Tribunal Appeal - Request for Directions,12 concorde; 3 concorde,street_type_matched,SM37772,1-3 Concorde Gate and 10-12 Concorde Place: mixed-use redevelopment of the Concorde Corporate Centre lands.,Consultant,Ryan Doherty,Fengate Asset Management,Client
2023.CC7.11,1-3 Concorde Gate and 10-12 Concorde Place - Zoning By-law Amendment - Ontario Land Tribunal Appeal - Request for Directions,12 concorde,street_type_matched,SM28445,Application in support of redevelopment of 10 and 12 Concorde Place,Consultant,Kate Cooper,Artis Concorde Limited,Client
